icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity
4baa52,THY1SL,Turkey,1789370434,22.8687,52.1266,10668,False,223.28
4baa4d,THY9VT,Turkey,1789370434,11.3622,49.2439,2979.42,False,141.17
4baa4e,THY7RN,Turkey,1789370434,15.4057,42.4618,10050.78,False,252.63
4baa59,THY3026,Turkey,1789370434,24.788,40.0359,10980.42,False,217.91
4baa0b,THY7VL,Turkey,1789370434,31.7453,37.2846,10355.58,False,228.17
4baa88,THY39P,Turkey,1789370434,21.5477,44.0789,10668,False,254.99
4baa89,THY87X,Turkey,1789370403,28.7189,41.267,,True,12.86
4baa86,THY3CT,Turkey,1789370435,35.9166,31.7196,1196.34,False,110.71
4baa81,THY40H,Turkey,1789370326,28.7265,41.262,,True,10.29
4baa7a,THY7RS,Turkey,1789370434,7.5897,50.5399,8702.04,False,219.76
4baa95,TKJ2AZ,Turkey,1789370424,31.9765,39.2706,9662.16,False,265.77
4baa92,THY6EU,Turkey,1789370434,10.0276,48.6383,3345.18,False,141.26
4baa90,THY2XH,Turkey,1789370429,44.9624,41.6684,,True,0.64
4baa8f,THY7YP,Turkey,1789370390,28.7072,41.2741,30.48,False,54.02
4baa8e,THY3WQ,Turkey,1789370415,19.2597,47.4312,,True,0
4baa8c,THY8YU,Turkey,1789370435,26.0638,42.5052,10668,False,254.29
4baa66,THY3160,Turkey,1789370434,30.7181,38.6498,8656.32,False,220.47
4baa67,THY2YR,Turkey,1789370434,34.4975,35.2142,8290.56,False,233.3
4baa62,THY6XK,Turkey,1789370039,22.9478,52.6237,10058.4,False,928.57
4baa61,THY1GH,Turkey,1789370434,28.4547,41.9394,5996.94,False,170.13
4baa5a,THY1JR,Turkey,1789370434,23.0014,52.3156,10668,False,222.59
4baa69,THY8QE,Turkey,1789370434,28.7129,41.0121,868.68,False,103.92
4baa75,THY6JV,Turkey,1789370434,28.1459,40.619,8115.3,False,200.49
4baa73,THY9TE,Turkey,1789370434,5.0042,50.6723,10675.62,False,250.6
4baa74,,Turkey,1789370399,30.4638,41.9812,7376.16,False,252.05
4baa6f,THY3NU,Turkey,1789370419,28.7079,41.2381,160.02,False,71.52
4baa6d,THY3092,Turkey,1789370435,30.9799,38.5546,7749.54,False,237.08
4baa6c,THY2ZN,Turkey,1789370434,28.4975,41.0174,1089.66,False,137.39
4baa79,THY2FB,Turkey,1789370434,10.1024,49.5439,5836.92,False,180.49
4bbd09,TKJ6MR,Turkey,1789370190,34.485,39.1414,10972.8,False,216.41
4bbd08,TKJ9SH,Turkey,1789370434,30.2742,40.3313,5958.84,False,207.7
4bbd06,TKJ1YG,Turkey,1789370294,29.5632,41.1699,4899.66,False,184.14
4bbd04,TKJ6698,Turkey,1789370195,36.2526,39.1657,10972.8,False,210.6
4bbd03,TKJ8QP,Turkey,1789370434,14.7766,46.3857,10972.8,False,226.36
4bbd01,TKJ572,Turkey,1789370435,39.5028,41.0775,10972.8,False,211.17
4bbd1a,TKJ5HB,Turkey,1789370434,30.3876,40.3474,7551.42,False,167.29
4baa0a,THY4BQ,Turkey,1789370434,28.8312,41.0442,5402.58,False,173.71
4bbd14,TKJ85G,Turkey,1789370434,14.9494,49.9013,3467.1,False,154.35
4bbd13,TKJ1KE,Turkey,1789370434,19.6888,46.4649,10972.8,False,215.12
4bbd0a,TKJ6696,Turkey,1789370435,31.2238,40.2314,10104.12,False,214.11
4bcde9,SXS5CX,Turkey,1789370434,23.3563,45.1135,11582.4,False,216.79
4bcde7,SXS77Z,Turkey,1789370435,10.5571,47.7922,3238.5,False,131.93
4bcde6,SXS6HY,Turkey,1789370434,33.2901,36.8635,10972.8,False,210.94
4bcdf6,SXS8ZN,Turkey,1789370434,14.367,46.6963,10660.38,False,243.27
4bcdee,SXS9ZT,Turkey,1789370434,21.5505,43.9677,11277.6,False,257.02
4bcdec,SXS6MX,Turkey,1789370435,-0.41,51.9659,7094.22,False,185.54
4bcdef,SXS7XL,Turkey,1789370434,24.3383,40.4507,12496.8,False,245.91
4bcdba,SXS4EC,Turkey,1789370434,26.2656,39.1569,8298.18,False,235.62
